genre,channel,sender,date,message
chill,#enviosity,neko_zume,1497898506235,!title
chill,#enviosity,nightbot,1497898506666,neko_zume -> Current Stream Title: Sick :(
variety,#totalbiscuit,newwillinium,1497898512422,"Also, Mosquito Butler. That sprite is adorably awful."
variety,#totalbiscuit,fluffyabsol,1497898514351,Torches are for the weak. ..Party sparklers is where it's at.
chill,#shenryyr,durpyfuc,1497898514591,OpieOP
variety,#totalbiscuit,luvonna,1497898516512,"philburg2 No torch. Only something new, called Blood light."
chill,#shenryyr,willtellu,1497898516738,do the derp dance! DerpPls RareDerp (ditto) RareDerp DerpPls
chill,#shenryyr,lemurlord,1497898519057,Communist States of America
chill,#shenryyr,panzer1509,1497898521977,chat you forgot to ask about nukes every 5 seconds shenDerp
chill,#shenryyr,nephilim_uk,1497898530371,so you are only as old as the person you feel....and this evening...it is a 32 year old LUL
chill,#shenryyr,generalmartok11,1497898531891,free saki for everyone!
speedrunning,#gamej06,keyboredcowboy,1497898531984,"ayy Jon, good luck today!"
speedrunning,#gamej06,videogames380,1497898533334,saving those precious frames
variety,#totalbiscuit,philburg2,1497898535959,"k, thx"
variety,#totalbiscuit,moobot,1497898536054,"Thank you for subbing, CerberusPhantom! You now have access to VoDs, the best chat on Twitch, ad-free viewing and a ton of great cynicalHydra emotes cynicalUL"
speedrunning,#gamej06,radiosurgery,1497898537866,Double Deckers all day
chill,#shenryyr,edv1naz,1497898540635,@shenryyr can u show the losses?
speedrunning,#gamej06,jseng93,1497898542110,i think im gonna go get some chipotle today
variety,#totalbiscuit,nexusthe9560th,1497898543588,I wonder if the blood curse'll make it to where they'll *only* go to the courtyard...
chill,#shenryyr,durpyfuc,1497898545522,who no nuke?
chill,#shenryyr,bobalonghazardly,1497898545883,mmm Sake
chill,#enviosity,harliquin9,1497898547974,will we ever see enviosity do a no death easy/medium run?
speedrunning,#gamej06,radiosurgery,1497898548007,That's why I roll with the Double Deckers Kreygasm
speedrunning,#gamej06,littlekossan,1497898548009,Tacky Bell? What's that?
variety,#totalbiscuit,newwillinium,1497898548023,@WanderingUrsa If we need to keep the blood as a slot to feed your infected troops then yeah that can be a major downside I think.
variety,#totalbiscuit,kshade,1497898549300,"It's not a roofed area, guess that's why"
variety,#totalbiscuit,talismaniac77,1497898549439,Bud light? oh dear god no :)
speedrunning,#gamej06,supermariofanofficial,1497898553043,TBCrunchy TBCrunchy TBCrunchy
speedrunning,#gamej06,cheesesodapunch,1497898554582,mexican pizza is the best
chill,#shenryyr,durpyfuc,1497898556672,Russia want nuke!
variety,#totalbiscuit,schattenmensch,1497898557091,from the plusses i would guess that it is not as much stress as complete darkness
speedrunning,#gamej06,producks,1497898557593,wr pace
speedrunning,#gamej06,djgamer1983,1497898558474,i live near a taco bell and taco bueno
chill,#enviosity,baschlarb,1497898558666,Envi if you ever get rid of enviNom we are breaking up. Best fucking emote ever
chill,#shenryyr,generalmartok11,1497898562837,cause armies are organized by teams
chill,#shenryyr,durpyfuc,1497898565412,where the nuke at?
speedrunning,#gamej06,redgunshow,1497898565515,can ibget a number 6 and a number 6 please? oh a party huh? sure
chill,#enviosity,wiz3933,1497898566188,@enviosity my favorite streamer enviLove
variety,#totalbiscuit,notthatant,1497898570753,kewl
chill,#shenryyr,grinbringer,1497898572369,"aristidebancevu , not necessarily. one dude was playing turtle switzerland with nukes and never left his land. nuked germany and allies manaed to take some random couple cities"
variety,#totalbiscuit,jj4622,1497898576648,@Talismaniac77 booooooooo cynicalCynical
chill,#enviosity,nwc90er,1497898577517,Upgrade PogChamp
chill,#shenryyr,generalmartok11,1497898580314,not corps or anything like that
speedrunning,#gamej06,therealkanten,1497898583315,I miss the Double Stackers
variety,#totalbiscuit,theslikbandit,1497898585182,these new mechanics are interesting
variety,#totalbiscuit,oyarly,1497898585575,cynicalBear cynicalBear cynicalBear this is all i need in my life
speedrunning,#gamej06,videogames380,1497898586863,@ProDucks it's your fault if he chokes now OpieOP
chill,#enviosity,krille84,1497898587371,PogChamp
variety,#totalbiscuit,brigand01,1497898592681,You should totally have that plague doctor drink the blood
variety,#totalbiscuit,wanderingursa,1497898594189,"@NewWillinium Also, using the blood on a hero buffs them a LOT for three turns."
variety,#totalbiscuit,fluffyabsol,1497898595133,"Munch, munch, munch."
variety,#totalbiscuit,schattenmensch,1497898599279,"really cool, that they turned one of the main mechanics around in the new area"
chill,#shenryyr,durpyfuc,1497898600278,GivePLZ TakeNRG
variety,#totalbiscuit,lord_ned,1497898602932,"I like the chat rules ""don't be a nobsack"" XD"
chill,#enviosity,krille84,1497898606798,I don't give a crap about enviNom but dear god never get rid of enviDK
variety,#totalbiscuit,newwillinium,1497898613211,There are two types of Hero Mercenaries right? Have we seen them yet?
chill,#shenryyr,mav12222,1497898617546,"@shenryyr Plebs keep coming into chat asking for you to use nukes for some reason, even though yuor like 4 years away from the technology, nevermind the faxct you said you dont like using them"
variety,#totalbiscuit,buttflubbercannon,1497898618547,The worms blight
variety,#totalbiscuit,kshade,1497898619186,"Blood goes in, blood goes out, you can't explain that."
chill,#enviosity,lysolpionex,1497898619871,cheese!
chill,#shenryyr,kopig,1497898620436,"@shenryyr ""52k is nothing"" thats 52 potential dads who never get to go home to their families and loved ones BibleThump BibleThump Kappa Kappa"
speedrunning,#gamej06,councilof13,1497898622961,+
variety,#totalbiscuit,talismaniac77,1497898628355,"@jj4622 Beers for everyone. Bad beer, but beer. :)"
speedrunning,#gamej06,jseng93,1497898629280,that sounds hot
